package_id,path,type,tracked_status,exists,parseable,purpose,last_modified,evidence,notes
WP4,spug_api/apps/fault/tests/legacy_characterization/,dir,tracked,yes,N/A,故障旧架构基线,2026-08-08,多个测试文件,
WP4,spug_api/apps/upgrade/tests/stable_contract/,dir,tracked,yes,N/A,升级稳定契约测试,2026-08-08,多个测试文件,
WP4,spug_api/apps/upgrade/tests/legacy_characterization/,dir,tracked,yes,N/A,升级旧架构基线,2026-08-08,多个测试文件,
WP4,spug_api/apps/interference/tests/stable_contract/,dir,tracked,yes,N/A,干扰稳定契约测试,2026-08-08,多个测试文件,
WP4,spug_api/apps/interference/tests/legacy_characterization/,dir,tracked,yes,N/A,干扰旧架构基线,2026-08-08,多个测试文件,
WP4,spug_api/apps/alert/tests/stable_contract/,dir,tracked,yes,N/A,告警稳定契约测试,2026-08-08,多个测试文件,
WP4,spug_api/apps/alert/tests/legacy_characterization/,dir,tracked,yes,N/A,告警旧架构基线,2026-08-08,多个测试文件,
WP4,quality/reports/technical_operations/技术运维模块重构前基线报告.md,md,tracked,yes,yes,测试报告,2026-08-08,91项测试87通过4skip,
WP4,quality/reports/technical_operations/stable_test_inventory.csv,csv,tracked,yes,yes,稳定测试清单,2026-08-08,48行,可解析
WP4,quality/reports/technical_operations/legacy_test_inventory.csv,csv,tracked,yes,yes,旧架构测试清单,2026-08-08,43行,可解析
WP4,quality/reports/technical_operations/migration_risk_register.csv,csv,tracked,yes,yes,迁移风险登记,2026-08-08,可解析,
WP4,quality/reports/technical_operations/coverage_gaps.md,md,tracked,yes,yes,覆盖缺口,2026-08-08,,
WP5,quality/tenant_isolation/tenant_matrix.yml,yml,tracked,yes,yes,租户矩阵,2026-08-08,多模块配置,可解析
WP5,quality/tenant_isolation/tests/,dir,tracked,yes,N/A,租户隔离测试,2026-08-08,真实HTTP请求,8模块行为测试
WP5,quality/tenant_isolation/factories/,dir,tracked,yes,N/A,测试工厂,2026-08-08,创建双租户用户,
WP5,quality/reports/tenant_isolation/全系统租户隔离与越权测试报告.md,md,tracked,yes,yes,测试报告,2026-08-08,2 CRITICAL+1 HIGH,
WP5,quality/reports/tenant_isolation/finding_register.csv,csv,tracked,yes,yes,发现登记,2026-08-08,可解析,
WP5,quality/reports/tenant_isolation/coverage_gaps.md,md,tracked,yes,yes,覆盖缺口,2026-08-08,11模块仅源码审查,
WP6,quality/permission_audit/audit_permissions.py,py,tracked,yes,N/A,审计入口,2026-08-08,含多个检查模块,工具已建设
WP6,quality/permission_audit/parsers/frontend.py,py,tracked,yes,N/A,前端解析器,2026-08-08,解析路由和权限,
WP6,quality/permission_audit/parsers/backend.py,py,tracked,yes,N/A,后端解析器,2026-08-08,解析API和权限,
WP6,quality/permission_audit/namespace_aliases.yml,yml,tracked,yes,yes,命名空间别名,2026-08-08,4个别名,正确处理regulation/reminder/alert/logs
WP6,quality/permission_audit/tests/unit/test_audit_tool.py,py,tracked,yes,N/A,工具单元测试,2026-08-08,测试解析器,
WP6,quality/permission_audit/tests/runtime/test_permission_behavior.py,py,tracked,yes,N/A,运行时权限测试,2026-08-08,创建真实用户/角色,
WP6,quality/reports/permission_audit/,dir,N/A,no,N/A,权限审计报告目录,2026-08-08,目录不存在,关键产物缺失
WP7,quality/database_audit/audit_database.py,py,tracked,yes,N/A,审计入口,2026-08-08,Django ORM+参数化SQL,可执行
WP7,quality/database_audit/database_rules.yml,yml,tracked,yes,yes,审计规则,2026-08-08,可解析,
WP7,quality/database_audit/model_exceptions.yml,yml,tracked,yes,yes,模型例外,2026-08-08,可解析,
WP7,quality/reports/database_audit/数据库结构与数据质量审计报告.md,md,tracked,yes,yes,审计报告,2026-08-08,3HIGH+5MEDIUM,
WP7,quality/reports/database_audit/model_table_inventory.csv,csv,tracked,yes,yes,模型表清单,2026-08-08,72表,可解析
WP7,quality/reports/database_audit/coverage_gaps.md,md,tracked,yes,yes,覆盖缺口,2026-08-08,,
WP8,quality/e2e/playwright.config.js,js,tracked,yes,N/A,Playwright配置,2026-08-08,Chromium only,
WP8,quality/e2e/tests/,dir,tracked,yes,N/A,E2E测试,2026-08-08,109项测试,全部通过
WP8,quality/reports/e2e/全系统端到端回归测试报告.md,md,tracked,yes,yes,测试报告,2026-08-08,109项全通过,
WP8,quality/reports/e2e/test_case_inventory.csv,csv,tracked,yes,yes,测试用例清单,2026-08-08,109行,可解析
WP8,quality/reports/e2e/execution_results.csv,csv,tracked,yes,yes,执行结果,2026-08-08,109行,可解析
WP8,quality/reports/e2e/artifacts/,dir,tracked,yes,N/A,测试产物,2026-08-08,627个文件,14个含明文密码
WP9,quality/performance/probe_readonly.py,py,tracked,yes,N/A,只读探测,2026-08-08,25端点5次迭代,
WP9,quality/performance/tests/,dir,tracked,yes,N/A,工具测试,2026-08-08,47个测试函数,~71项通过
WP9,quality/reports/performance/全系统性能基线报告.md,md,tracked,yes,yes,性能报告,2026-08-08,23/25端点成功,Locust未安装
WP9,quality/reports/performance/scenario_inventory.csv,csv,tracked,yes,yes,场景清单,2026-08-08,可解析,
WP9,quality/reports/performance/coverage_gaps.md,md,tracked,yes,yes,覆盖缺口,2026-08-08,10项缺口,
WP9,quality/disaster_recovery/runners/,dir,tracked,yes,N/A,灾备工具,2026-08-08,恢复和故障注入runner,
WP9,quality/disaster_recovery/tests/,dir,tracked,yes,N/A,工具测试,2026-08-08,79+个测试函数,~78通过1skip
WP9,quality/disaster_recovery/helpers/environment_guard.py,py,tracked,yes,N/A,环境保护,2026-08-08,fail-closed,
WP9,quality/disaster_recovery/helpers/redaction.py,py,tracked,yes,N/A,密码脱敏,2026-08-08,16种模式,
WP9,quality/reports/disaster_recovery/全系统灾备基线报告.md,md,tracked,yes,yes,灾备报告,2026-08-08,3严重+4高+4中+4低,
WP9,quality/reports/disaster_recovery/rpo_rto_baseline.csv,csv,tracked,yes,yes,RPO/RTO基线,2026-08-08,估算值,
WP9,quality/reports/disaster_recovery/restore_drill_results.csv,csv,tracked,yes,yes,恢复演练结果,2026-08-08,全部未执行,
