module_key,中文名称,backend_path,frontend_path,menu_path,primary_models,database_tables,api_prefix,permission_prefix,tenant_aware,soft_delete_strategy,attachment_support,export_support,cache_usage,background_job_usage,existing_test_files,lifecycle_status,notes
home,工作台/首页,spug_api/apps/home,spug_web/src/pages/home,工作台,"Navigation; Notice; AnnouncementScope; AnnouncementRead","home_navigation; home_notice; home_announcementscope; home_announcementread",/api/home/,home.announcement|home.navigation|home.reminder,yes,is_deleted+deleted_at,no,no,no,HOME_BEAT_SCHEDULE(公告过期同步),"apps/home/tests/test_navigation.py; apps/home/tests/test_notice.py; apps/home/tests/test_notice_role.py; apps/home/tests/test_navigation_audit.py; apps/home/tests/test_notice_permissions.py; apps/home/tests/test_navigation_crud.py; apps/home/tests/test_notice_crud.py; apps/home/tests/test_home_role.py; apps/home/tests/test_navigation_full.py; apps/home/tests/test_notice_full.py; apps/home/tests/test_home_combined.py",active,22项审计修复完成18/18PASS; AdminView+PERM_MAP
interference,干扰管理,spug_api/apps/interference,spug_web/src/pages/interference,干扰管理,"InterferenceRecord","interference_interferencerecord",/api/interference/,interference.*,yes,is_deleted+deleted_at,yes(EvidenceAttachment),no,no,no,no,"apps/interference/tests/test_interference.py; apps/interference/tests/test_crud.py; apps/interference/tests/test_soft_delete.py; apps/interference/tests/test_dedup.py; apps/interference/tests/test_concurrency.py; apps/interference/tests/test_permission.py; apps/interference/tests/test_audit.py; apps/interference/tests/test_validate.py; apps/interference/tests/test_list.py; apps/interference/tests/test_attachment.py; apps/interference/tests/test_export.py",active,11项审计修复; View+@auth
logs,操作日志,spug_api/apps/logs,spug_web/src/pages/maintenance,运维管理>操作日志,"AuditLog; AuditLogSequence","logs_auditlog; logs_auditlogsequence",/api/logs/,system.audit,no,none,no,yes(导出),no,LOGS_BEAT_SCHEDULE(归档/清理/哈希链校验),"apps/logs/tests/test_audit.py; apps/logs/tests/test_hash_chain.py; apps/logs/tests/test_archive.py; apps/logs/tests/test_log_model.py; apps/logs/tests/test_sequence.py; apps/logs/tests/test_log_api.py; apps/logs/tests/test_export.py",active,7项风险确认; AdminView+PERM_MAP; record_audit_event公共函数
radio_license,无线电台执照,spug_api/apps/radio_license,spug_web/src/pages/radioLicense,无线电台执照/台站频率批复,"RadioLicense; StationFrequencyApproval","radio_license_radiolicense; radio_license_stationfrequencyapproval",/api/radio-license/,radio_license.license|radio_license.approval,yes,is_deleted+deleted_at,yes(EvidenceAttachment),no,no,RADIO_LICENSE_BEAT_SCHEDULE(过期检查),"apps/radio_license/tests/test_license.py; apps/radio_license/tests/test_approval.py; apps/radio_license/tests/test_dedup.py; apps/radio_license/tests/test_crud.py; apps/radio_license/tests/test_soft_delete.py; apps/radio_license/tests/test_concurrency.py; apps/radio_license/tests/test_permission.py; apps/radio_license/tests/test_audit.py; apps/radio_license/tests/test_validate.py; apps/radio_license/tests/test_attachment_integration.py; apps/radio_license/tests/test_schedule.py; apps/radio_license/tests/test_export.py; apps/radio_license/tests/test_scan_and_audit.py; apps/radio_license/tests/test_approval_dedup.py; apps/radio_license/tests/test_approval_crud.py; apps/radio_license/tests/test_approval_soft_delete.py; apps/radio_license/tests/test_approval_concurrency.py; apps/radio_license/tests/test_approval_permission.py; apps/radio_license/tests/test_approval_audit.py; apps/radio_license/tests/test_approval_validate.py; apps/radio_license/tests/test_approval_attachment.py; apps/radio_license/tests/test_approval_schedule.py; apps/radio_license/tests/test_approval_export.py; apps/radio_license/tests/test_approval_list.py",active,28/28PASS; 5项已修复; View+@auth
regulation,规章管理,spug_api/apps/regulation,spug_web/src/pages/regulation,规章管理,"Regulation","regulation_regulation",/api/regulation/,document.regulation,yes,is_deleted+deleted_at,yes(独立storage.py),no,no,no,no,"apps/regulation/tests/test_regulation.py; apps/regulation/tests/test_crud.py; apps/regulation/tests/test_soft_delete.py; apps/regulation/tests/test_dedup.py; apps/regulation/tests/test_concurrency.py; apps/regulation/tests/test_permission.py; apps/regulation/tests/test_audit.py; apps/regulation/tests/test_validate.py; apps/regulation/tests/test_list.py; apps/regulation/tests/test_export.py",active,7项修复15/15PASS; View+@auth; 独立storage.py
reminder,提醒事项,spug_api/apps/reminder,spug_web/src/pages/reminder,公告与提醒>提醒事项,"Reminder; WeeklyReminderLog","reminder_reminder; reminder_weeklyreminderlog",/api/reminder/,home.reminder,yes,is_deleted+deleted_at,no,no,no,REMINDER_BEAT_SCHEDULE(每5分钟检查),"apps/reminder/tests/test_reminder.py; apps/reminder/tests/test_schedule.py",active,check_weekly_report_reminders; 10分钟窗口+get_or_create幂等
runlog,跨日事项跟踪,spug_api/apps/runlog,spug_web/src/pages/runlog,跨日事项,"RunLog; RunLogEventType","runlog_runlog; runlog_runlogeventtype",/api/runlog/,runlog.runlog,yes,is_deleted+deleted_at,no,no,no,no,apps/runlog/tests/test_runlog.py,active,View+@auth
setting,系统设置,spug_api/apps/setting,spug_web/src/pages/system,系统管理>系统设置,"AppSetting; UserSetting","setting_appsetting; setting_usersetting",/api/setting/,system.setting,no(GLOBAL),none,no,no,no,no,no,apps/setting/tests/test_setting.py,active,AdminView+PERM_MAP
signature,签名系统,spug_api/apps/signature,(内嵌),(内嵌),"AccountSignature; SignatureUsage; EvidenceEvent","signature_accountsignature; signature_signatureusage; signature_evidenceevent",/api/signature/,(内嵌),yes,is_deleted+deleted_at,no,no,no,no,apps/signature/tests/test_signature.py,active,SupperOnlyView超管限制; apply_signature事务锁+SHA256
upgrade,系统升级,spug_api/apps/upgrade,spug_web/src/pages/upgrade,系统升级,"UpgradeRecord; UpgradeSystem; UpgradeTemplate; UpgradePlanStep; UpgradeRecordStep; UpgradeStatusLog","tdyw_upgrade_records; tdyw_upgrade_systems; tdyw_upgrade_templates; tdyw_upgrade_plan_steps; tdyw_upgrade_record_steps; tdyw_upgrade_status_logs",/api/upgrade/,upgrade.*,yes,is_deleted+deleted_at(部分),no,no,no,no,"apps/upgrade/tests/test_upgrade.py; apps/upgrade/tests/test_crud.py; apps/upgrade/tests/test_soft_delete.py; apps/upgrade/tests/test_dedup.py; apps/upgrade/tests/test_concurrency.py; apps/upgrade/tests/test_permission.py; apps/upgrade/tests/test_audit.py; apps/upgrade/tests/test_validate.py; apps/upgrade/tests/test_list.py; apps/upgrade/tests/test_export.py; apps/upgrade/tests/test_template.py; apps/upgrade/tests/test_plan_steps.py; apps/upgrade/tests/test_record_steps.py; apps/upgrade/tests/test_status_log.py; apps/upgrade/tests/test_schedule.py",active,19/19PASS; TenantModelManager根治is_deleted泄漏; View+@auth
